fit,n,r2,threshold,foldx_t,inverse_estimate,fieller_lo,fieller_hi,instability_g,direct_regression_estimate
benchmark,15,0.604,t10,1.0,0.58,-2.55,1.99,0.236,1.69
benchmark,15,0.604,t15,1.5,1.41,-1.08,2.68,0.236,2.19
benchmark,15,0.604,t20,2.0,2.24,0.3,3.47,0.236,2.69
benchmark,15,0.604,t25,2.5,3.06,1.54,4.38,0.236,3.19
benchmark,15,0.604,tSAP,2.9,3.72,2.41,5.25,0.236,3.59
pooled,56,0.414,t10,1.0,0.73,-0.41,1.52,0.105,1.57
pooled,56,0.414,t15,1.5,1.9,1.05,2.69,0.105,2.06
pooled,56,0.414,t20,2.0,3.08,2.31,4.06,0.105,2.55
pooled,56,0.414,t25,2.5,4.25,3.39,5.61,0.105,3.04
pooled,56,0.414,tSAP,2.9,5.19,4.19,6.91,0.105,3.43
