removed_system,n_remaining,positive_remaining,roc_auc__isds_v1,average_precision__isds_v1,roc_auc__isds_energy_component,average_precision__isds_energy_component,roc_auc__isds_context_component,average_precision__isds_context_component,auc_diff_isds_minus_energy,auc_diff_isds_minus_context
brca1_bard1,43,18,0.8999999999999999,0.9068658434033448,0.8244444444444444,0.8328761514870184,0.8333333333333334,0.7495807495807496,0.07555555555555549,0.06666666666666654
cam_cav12,44,20,0.9208333333333333,0.9326377885925476,0.8354166666666667,0.8516035433925424,0.8791666666666667,0.8454887218045113,0.08541666666666659,0.04166666666666663
cfh_c3b,44,19,0.9094736842105263,0.9170088789403417,0.8357894736842105,0.8422182967325595,0.8494736842105264,0.7750626566416039,0.0736842105263158,0.05999999999999994
hemoglobin_dimer,46,20,0.9153846153846154,0.923350388002091,0.8442307692307692,0.8501705505723545,0.8538461538461538,0.7851282051282051,0.07115384615384612,0.06153846153846154
hemoglobin_tetramer,42,15,0.9012345679012346,0.8980228758169935,0.8493827160493828,0.8132359067295547,0.8308641975308642,0.7045502645502646,0.051851851851851816,0.07037037037037042
kras_craf,44,18,0.9743589743589743,0.9647185774894754,0.8846153846153846,0.8747837654023155,0.9038461538461539,0.8153846153846154,0.08974358974358976,0.07051282051282048
mlh1_pms2,40,17,0.9002557544757033,0.9026971082550668,0.8491048593350383,0.8451694403251496,0.8631713554987211,0.7949197860962567,0.051150895140664954,0.037084398976982125
msh2_msh6,42,19,0.9221967963386728,0.934887305449132,0.8718535469107551,0.8921476485330972,0.8501144164759726,0.7850877192982456,0.05034324942791768,0.07208237986270016
pi3k,42,18,0.9212962962962963,0.9336148763464518,0.8495370370370371,0.8606566964078708,0.8703703703703702,0.8076923076923077,0.07175925925925919,0.05092592592592604
smad4_smad3,43,18,0.9066666666666666,0.9094257766084393,0.8266666666666667,0.8192971244441833,0.8444444444444446,0.7581369248035914,0.07999999999999996,0.06222222222222207
troponin_ic,44,20,0.9145833333333334,0.9259189080578776,0.8541666666666666,0.8663697277413822,0.84375,0.7864777327935223,0.060416666666666785,0.07083333333333341
vhl_elonginc,45,19,0.9190283400809716,0.9264184322353437,0.8461538461538461,0.8509588394589815,0.8663967611336032,0.7954019664545979,0.07287449392712542,0.05263157894736836
vwf_gpiba,45,19,0.9109311740890689,0.9160538704513772,0.8340080971659919,0.8393739883810356,0.8552631578947368,0.7750626566416039,0.07692307692307698,0.05566801619433204
