score,k,k_effective,structural_mechanisms_in_top_k,precision_at_k,recovery_at_k
isds_v1,5,5,4,0.8,0.23529411764705882
isds_v1,10,10,9,0.9,0.5294117647058824
isds_v1,15,15,13,0.8666666666666667,0.7647058823529411
isds_v1,20,20,16,0.8,0.9411764705882353
isds_v1,25,25,17,0.68,1.0
isds_energy_component,5,5,4,0.8,0.23529411764705882
isds_energy_component,10,10,8,0.8,0.47058823529411764
isds_energy_component,15,15,11,0.7333333333333333,0.6470588235294118
isds_energy_component,20,20,15,0.75,0.8823529411764706
isds_energy_component,25,25,15,0.6,0.8823529411764706
isds_context_component,5,5,4,0.8,0.23529411764705882
isds_context_component,10,10,8,0.8,0.47058823529411764
isds_context_component,15,15,11,0.7333333333333333,0.6470588235294118
isds_context_component,20,20,14,0.7,0.8235294117647058
isds_context_component,25,25,16,0.64,0.9411764705882353
max_abs_energy_recomputed,5,5,4,0.8,0.23529411764705882
max_abs_energy_recomputed,10,10,8,0.8,0.47058823529411764
max_abs_energy_recomputed,15,15,11,0.7333333333333333,0.6470588235294118
max_abs_energy_recomputed,20,20,15,0.75,0.8823529411764706
max_abs_energy_recomputed,25,25,15,0.6,0.8823529411764706
